"domain" "phylum" "class" "order" "family" "genus" "species"
"ASV_61" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_62" NA NA NA NA NA NA NA
"ASV_63" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_64" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_65" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_66" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_67" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_68" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_69" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_70" "Bacteria" NA NA NA NA NA NA
"ASV_71" NA NA NA NA NA NA NA
"ASV_72" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_73" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_74" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_75" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" NA NA NA
"ASV_76" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_77" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_78" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_79" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_80" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_81" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_82" "Bacteria" "RCP2-54" NA NA NA NA NA
"ASV_83" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"ASV_84" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_85" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_86" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_87" "Bacteria" NA NA NA NA NA NA
"ASV_88" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_89" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_90" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_91" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_92" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_93" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_94" NA NA NA NA NA NA NA
"ASV_95" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_96" NA NA NA NA NA NA NA
"ASV_97" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_98" "Bacteria" "Chloroflexi" "AD3" NA NA NA NA
"ASV_99" "Bacteria" NA NA NA NA NA NA
"ASV_100" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_101" "Bacteria" "Actinobacteriota" "Actinobacteria" NA NA NA NA
"ASV_102" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_103" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" NA NA
"ASV_104" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_105" "Bacteria" NA NA NA NA NA NA
"ASV_106" "Bacteria" NA NA NA NA NA NA
"ASV_107" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_108" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_109" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_110" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"ASV_111" "Bacteria" "Planctomycetota" NA NA NA NA NA
"ASV_112" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_113" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_114" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_115" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_116" "Bacteria" NA NA NA NA NA NA
"ASV_117" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_118" "Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"ASV_119" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA NA
"ASV_120" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Rhodoplanes" NA
"ASV_121" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_122" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_123" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "A21b" NA NA
"ASV_124" "Bacteria" "RCP2-54" NA NA NA NA NA
"ASV_125" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_126" NA NA NA NA NA NA NA
"ASV_127" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_128" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_129" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_130" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_131" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" NA NA
"ASV_132" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_133" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_134" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_135" "Bacteria" "Proteobacteria" NA NA NA NA NA
"ASV_136" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_137" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_138" NA NA NA NA NA NA NA
"ASV_139" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_140" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_141" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_142" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_143" "Bacteria" "Actinobacteriota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Pseudonocardia" NA
"ASV_144" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_145" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_146" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
"ASV_147" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_148" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_149" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" NA NA
"ASV_150" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_151" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_152" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_153" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia" NA
"ASV_154" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_155" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_156" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "WD260" NA NA NA
"ASV_157" "Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"ASV_158" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_159" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_160" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_161" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_162" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_163" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_164" "Bacteria" NA NA NA NA NA NA
"ASV_165" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_166" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_167" NA NA NA NA NA NA NA
"ASV_168" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_169" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"ASV_170" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_171" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_172" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_173" "Bacteria" "Actinobacteriota" "Actinobacteria" NA NA NA NA
"ASV_174" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_175" "Bacteria" NA NA NA NA NA NA
"ASV_176" "Bacteria" "Acidobacteriota" NA NA NA NA NA
"ASV_177" "Bacteria" "Chloroflexi" "Ktedonobacteria" "Ktedonobacterales" "Ktedonobacteraceae" "1921-2" NA
"ASV_178" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_179" "Bacteria" NA NA NA NA NA NA
"ASV_180" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_181" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_182" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_183" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_184" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Rhodoplanes" NA
"ASV_185" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_186" "Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"ASV_187" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_188" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_189" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_190" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_191" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_192" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_193" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_194" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"ASV_195" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_196" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_197" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
"ASV_198" NA NA NA NA NA NA NA
"ASV_199" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "WD260" NA NA NA
"ASV_200" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_201" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_202" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" NA NA
"ASV_203" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_204" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_205" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" NA NA
"ASV_206" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_207" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_208" "Bacteria" "Actinobacteriota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Dactylosporangium" NA
"ASV_209" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_210" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella" NA
"ASV_211" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_212" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_213" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_214" "Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Roseisolibacter" NA
"ASV_215" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_216" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "CandidatusUdaeobacter" NA
"ASV_217" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_218" "Bacteria" NA NA NA NA NA NA
"ASV_219" NA NA NA NA NA NA NA
"ASV_220" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_221" "Bacteria" "RCP2-54" NA NA NA NA NA
"ASV_222" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"ASV_223" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "CandidatusNostocoida" NA
"ASV_224" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_225" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
