"domain" "phylum" "class" "order" "family" "genus" "species"
"ASV_672" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_673" "Bacteria" NA NA NA NA NA NA
"ASV_674" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Opitutales" "Opitutaceae" NA NA
"ASV_675" NA NA NA NA NA NA NA
"ASV_676" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_677" NA NA NA NA NA NA NA
"ASV_678" NA NA NA NA NA NA NA
"ASV_679" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"ASV_680" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" NA NA
"ASV_681" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_682" NA NA NA NA NA NA NA
"ASV_683" NA NA NA NA NA NA NA
"ASV_684" "Bacteria" "Actinobacteriota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Luedemannella" NA
"ASV_685" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"ASV_686" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_687" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_688" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" NA NA
"ASV_689" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"ASV_690" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "PMMR1" NA
"ASV_691" "Bacteria" "Planctomycetota" NA NA NA NA NA
"ASV_692" NA NA NA NA NA NA NA
"ASV_693" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_694" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" "Acidicaldus" NA
"ASV_695" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_696" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_697" "Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" NA NA
"ASV_698" "Bacteria" NA NA NA NA NA NA
"ASV_699" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella" NA
"ASV_700" "Bacteria" "Chloroflexi" "Ktedonobacteria" "Ktedonobacterales" "Ktedonobacteraceae" "Thermosporothrix" NA
"ASV_701" "Bacteria" "Actinobacteriota" "Actinobacteria" "Catenulisporales" "Actinospicaceae" "Actinospica" NA
"ASV_702" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_703" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"ASV_704" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "A0839" NA NA
"ASV_705" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Koribacteraceae" "CandidatusKoribacter" NA
"ASV_706" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_707" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"ASV_708" NA NA NA NA NA NA NA
"ASV_709" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_710" "Bacteria" "Armatimonadota" "Chthonomonadetes" "Chthonomonadales" "Chthonomonadaceae" "Chthonomonas" NA
"ASV_711" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" NA NA
"ASV_712" NA NA NA NA NA NA NA
"ASV_713" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" NA NA
"ASV_714" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_715" "Bacteria" NA NA NA NA NA NA
"ASV_716" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"ASV_717" NA NA NA NA NA NA NA
"ASV_718" "Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" "Gemmata" NA
"ASV_719" NA NA NA NA NA NA NA
"ASV_720" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_721" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "CWTCU03-E12" NA NA
"ASV_722" "Bacteria" "Myxococcota" "Polyangia" "Polyangiales" "Polyangiaceae" "Pajaroellobacter" NA
"ASV_723" NA NA NA NA NA NA NA
"ASV_724" NA NA NA NA NA NA NA
"ASV_725" NA NA NA NA NA NA NA
"ASV_726" "Bacteria" NA NA NA NA NA NA
"ASV_727" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter" NA
"ASV_728" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_729" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_730" "Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Roseisolibacter" NA
"ASV_731" NA NA NA NA NA NA NA
"ASV_732" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_733" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_734" "Bacteria" NA NA NA NA NA NA
"ASV_735" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_736" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_737" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_738" NA NA NA NA NA NA NA
"ASV_739" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Diplorickettsiales" "Diplorickettsiaceae" "Aquicella" NA
"ASV_740" "Bacteria" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" NA NA
"ASV_741" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" NA NA
"ASV_742" "Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" NA NA
"ASV_743" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_744" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"ASV_745" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia" NA
"ASV_746" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "WD260" NA NA NA
"ASV_747" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter" NA
"ASV_748" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_749" NA NA NA NA NA NA NA
"ASV_750" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_751" NA NA NA NA NA NA NA
"ASV_752" NA NA NA NA NA NA NA
"ASV_753" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Xiphinematobacteraceae" "CandidatusXiphinematobacter" NA
"ASV_754" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_755" NA NA NA NA NA NA NA
"ASV_756" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Pseudoduganella" NA
"ASV_757" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_758" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_759" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_760" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_761" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Rhodanobacteraceae" "Luteibacter" NA
"ASV_762" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_763" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_764" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup13" NA NA NA
"ASV_765" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_766" "Bacteria" NA NA NA NA NA NA
"ASV_767" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Subgroup17" NA NA NA
"ASV_768" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "IS-44" NA
"ASV_769" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" NA NA NA
"ASV_770" "Bacteria" "Cyanobacteria" "Cyanobacteriia" "Chloroplast" NA NA NA
"ASV_771" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_772" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_773" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_774" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_775" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101soilgroup" NA NA
"ASV_776" "Bacteria" NA NA NA NA NA NA
"ASV_777" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_778" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "67-14" NA NA
"ASV_779" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_780" "Bacteria" NA NA NA NA NA NA
"ASV_781" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Opitutales" "Opitutaceae" NA NA
"ASV_782" "Bacteria" NA NA NA NA NA NA
"ASV_783" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_784" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" NA NA
"ASV_785" NA NA NA NA NA NA NA
"ASV_786" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_787" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_788" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_789" NA NA NA NA NA NA NA
"ASV_790" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA NA
"ASV_791" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "MND1" NA
"ASV_792" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" NA NA NA
"ASV_793" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "IS-44" NA
"ASV_794" NA NA NA NA NA NA NA
"ASV_795" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_796" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_797" "Bacteria" "Actinobacteriota" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola" NA
"ASV_798" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_799" NA NA NA NA NA NA NA
"ASV_800" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_801" "Bacteria" "Acidobacteriota" "Holophagae" "Subgroup7" NA NA NA
"ASV_802" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_803" "Bacteria" "Actinobacteriota" NA NA NA NA NA
"ASV_804" "Bacteria" NA NA NA NA NA NA
"ASV_805" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_806" "Bacteria" "Actinobacteriota" "Actinobacteria" NA NA NA NA
"ASV_807" NA NA NA NA NA NA NA
"ASV_808" "Bacteria" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptacidiphilus" NA
"ASV_809" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "JG36-TzT-191" NA NA NA
"ASV_810" "Bacteria" "Myxococcota" "Polyangia" "Haliangiales" "Haliangiaceae" "Haliangium" NA
"ASV_811" "Bacteria" "Gemmatimonadota" "Longimicrobia" "Longimicrobiales" "Longimicrobiaceae" "Longimicrobium" NA
"ASV_812" "Bacteria" NA NA NA NA NA NA
"ASV_813" "Bacteria" "Myxococcota" "Polyangia" "Haliangiales" "Haliangiaceae" "Haliangium" NA
"ASV_814" NA NA NA NA NA NA NA
"ASV_815" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_816" NA NA NA NA NA NA NA
"ASV_817" "Bacteria" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" NA
"ASV_818" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_819" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Tundrisphaera" NA
"ASV_820" "Bacteria" NA NA NA NA NA NA
"ASV_821" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_822" NA NA NA NA NA NA NA
"ASV_823" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_824" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "67-14" NA NA
"ASV_825" NA NA NA NA NA NA NA
"ASV_826" "Archaea" "Crenarchaeota" "Nitrososphaeria" "Group1.1c" NA NA NA
"ASV_827" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylobacterium-Methylorubrum" NA
"ASV_828" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_829" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_830" "Bacteria" "Actinobacteriota" NA NA NA NA NA
"ASV_831" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "67-14" NA NA
"ASV_832" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_833" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" NA
"ASV_834" "Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA NA
"ASV_835" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_836" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101soilgroup" NA NA
"ASV_837" "Bacteria" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" NA
"ASV_838" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_839" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" "Acidocella" NA
"ASV_840" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus" NA
"ASV_841" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup13" NA NA NA
"ASV_842" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA NA
"ASV_843" NA NA NA NA NA NA NA
"ASV_844" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "AKYH767" NA NA
"ASV_845" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_846" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_847" NA NA NA NA NA NA NA
"ASV_848" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_849" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_850" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" "Acidicaldus" NA
"ASV_851" "Bacteria" "Actinobacteriota" "Acidimicrobiia" NA NA NA NA
"ASV_852" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"ASV_853" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" NA NA
"ASV_854" NA NA NA NA NA NA NA
"ASV_855" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter" NA
"ASV_856" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter" NA
"ASV_857" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" NA NA NA
"ASV_858" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_859" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_860" NA NA NA NA NA NA NA
"ASV_861" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_862" "Bacteria" "Actinobacteriota" "Thermoleophilia" "Solirubrobacterales" "67-14" NA NA
"ASV_863" NA NA NA NA NA NA NA
"ASV_864" "Bacteria" "Myxococcota" "Polyangia" "Haliangiales" "Haliangiaceae" "Haliangium" NA
"ASV_865" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_866" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "SWB02" NA
"ASV_867" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "Ellin6067" NA
"ASV_868" NA NA NA NA NA NA NA
"ASV_869" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_870" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_871" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101soilgroup" NA NA
"ASV_872" "Bacteria" "Acidobacteriota" "Holophagae" "Subgroup7" NA NA NA
"ASV_873" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_874" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Pedomicrobium" NA
"ASV_875" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" NA
"ASV_876" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA NA
"ASV_877" "Bacteria" NA NA NA NA NA NA
"ASV_878" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_879" "Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"ASV_880" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_881" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_882" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" NA NA
"ASV_883" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Edaphobacter" NA
"ASV_884" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_885" NA NA NA NA NA NA NA
"ASV_886" NA NA NA NA NA NA NA
"ASV_887" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"ASV_888" "Bacteria" "Actinobacteriota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" NA NA
"ASV_889" "Bacteria" "Actinobacteriota" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides" NA
"ASV_890" NA NA NA NA NA NA NA
"ASV_891" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_892" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" NA NA
"ASV_893" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "GammaproteobacteriaIncertaeSedis" "UnknownFamily_4" "Acidibacter" NA
"ASV_894" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Opitutales" "Opitutaceae" NA NA
"ASV_895" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" NA NA
"ASV_896" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_897" NA NA NA NA NA NA NA
"ASV_898" NA NA NA NA NA NA NA
"ASV_899" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA NA
"ASV_900" "Bacteria" "Actinobacteriota" "Acidimicrobiia" "IMCC26256" NA NA NA
"ASV_901" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Opitutales" "Opitutaceae" NA NA
"ASV_902" "Bacteria" NA NA NA NA NA NA
"ASV_903" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" NA NA
"ASV_904" "Bacteria" "Planctomycetota" "Planctomycetes" "Isosphaerales" "Isosphaeraceae" "Aquisphaera" NA
"ASV_905" "Bacteria" "WPS-2" NA NA NA NA NA
"ASV_906" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
"ASV_907" "Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Microscillaceae" NA NA
"ASV_908" NA NA NA NA NA NA NA
"ASV_909" NA NA NA NA NA NA NA
"ASV_910" NA NA NA NA NA NA NA
"ASV_911" "Bacteria" "RCP2-54" NA NA NA NA NA
"ASV_912" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_913" "Bacteria" "Actinobacteriota" "Actinobacteria" "Catenulisporales" "Actinospicaceae" "Actinospica" NA
"ASV_914" "Bacteria" NA NA NA NA NA NA
"ASV_915" NA NA NA NA NA NA NA
"ASV_916" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" NA
"ASV_917" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Occallatibacter" NA
"ASV_918" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus" NA
"ASV_919" "Bacteria" "Actinobacteriota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" NA NA
"ASV_920" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Granulicella" NA
"ASV_921" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "CandidatusSolibacter" NA
"ASV_922" "Bacteria" "Myxococcota" "Polyangia" "Polyangiales" "BIrii41" NA NA
"ASV_923" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"ASV_924" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Granulicella" NA
"ASV_925" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup13" NA NA NA
"ASV_926" "Bacteria" "Actinobacteriota" "Actinobacteria" "Frankiales" "Frankiaceae" "Jatrophihabitans" NA
"ASV_927" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" NA NA NA NA
"ASV_928" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" NA NA
"ASV_929" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"ASV_930" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_931" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_932" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup13" NA NA NA
"ASV_933" "Bacteria" NA NA NA NA NA NA
"ASV_934" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae(Subgroup1)" "Acidipila" NA
"ASV_935" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "env.OPS17" NA NA
"ASV_936" "Bacteria" "Acidobacteriota" "Acidobacteriae" NA NA NA NA
"ASV_937" NA NA NA NA NA NA NA
"ASV_938" "Bacteria" NA NA NA NA NA NA
"ASV_939" "Bacteria" "RCP2-54" NA NA NA NA NA
"ASV_940" "Bacteria" "Myxococcota" "Polyangia" "Polyangiales" "Polyangiaceae" NA NA
"ASV_941" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "JG36-TzT-191" NA NA NA
"ASV_942" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA NA
"ASV_943" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" NA
"ASV_944" NA NA NA NA NA NA NA
"ASV_945" NA NA NA NA NA NA NA
"ASV_946" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" NA NA
"ASV_947" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Subgroup2" NA NA NA
"ASV_948" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" NA NA
"ASV_949" "Bacteria" "Gemmatimonadota" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Roseisolibacter" NA
